,date,month,year,instruments,volume
89,2018-06-01,6,2018,Municipal bonds_Investment Dealers,423
161,2018-06-01,6,2018,Municipal bonds_Issuer,2
149,2018-06-01,6,2018,Municipal bonds_Non-Residents,163
137,2018-06-01,6,2018,Municipal bonds_Retail Clients,177
17,2018-06-01,6,2018,Strip Bond Trading (coupons and residuals)_Anonymous Systems: IDBBs and ATSs,156
29,2018-06-01,6,2018,Strip Bond Trading (coupons and residuals)_Banks,235
41,2018-06-01,6,2018,Strip Bond Trading (coupons and residuals)_Institutional Clients,2513
5,2018-06-01,6,2018,Strip Bond Trading (coupons and residuals)_Investment Dealers,258
77,2018-06-01,6,2018,Strip Bond Trading (coupons and residuals)_Issuer,320
65,2018-06-01,6,2018,Strip Bond Trading (coupons and residuals)_Non-Residents,656
53,2018-06-01,6,2018,Strip Bond Trading (coupons and residuals)_Retail Clients,365
102,2018-07-01,7,2018,Municipal bonds_Anonymous Systems: IDBBs and ATSs,421
114,2018-07-01,7,2018,Municipal bonds_Banks,163
126,2018-07-01,7,2018,Municipal bonds_Institutional Clients,1599
90,2018-07-01,7,2018,Municipal bonds_Investment Dealers,492
162,2018-07-01,7,2018,Municipal bonds_Issuer,99
150,2018-07-01,7,2018,Municipal bonds_Non-Residents,248
138,2018-07-01,7,2018,Municipal bonds_Retail Clients,159
18,2018-07-01,7,2018,Strip Bond Trading (coupons and residuals)_Anonymous Systems: IDBBs and ATSs,136
30,2018-07-01,7,2018,Strip Bond Trading (coupons and residuals)_Banks,156
42,2018-07-01,7,2018,Strip Bond Trading (coupons and residuals)_Institutional Clients,3010
6,2018-07-01,7,2018,Strip Bond Trading (coupons and residuals)_Investment Dealers,256
78,2018-07-01,7,2018,Strip Bond Trading (coupons and residuals)_Issuer,16
66,2018-07-01,7,2018,Strip Bond Trading (coupons and residuals)_Non-Residents,312
54,2018-07-01,7,2018,Strip Bond Trading (coupons and residuals)_Retail Clients,297
103,2018-08-01,8,2018,Municipal bonds_Anonymous Systems: IDBBs and ATSs,317
115,2018-08-01,8,2018,Municipal bonds_Banks,185
127,2018-08-01,8,2018,Municipal bonds_Institutional Clients,1371
91,2018-08-01,8,2018,Municipal bonds_Investment Dealers,322
163,2018-08-01,8,2018,Municipal bonds_Issuer,7
151,2018-08-01,8,2018,Municipal bonds_Non-Residents,251
139,2018-08-01,8,2018,Municipal bonds_Retail Clients,147
19,2018-08-01,8,2018,Strip Bond Trading (coupons and residuals)_Anonymous Systems: IDBBs and ATSs,239
31,2018-08-01,8,2018,Strip Bond Trading (coupons and residuals)_Banks,108
43,2018-08-01,8,2018,Strip Bond Trading (coupons and residuals)_Institutional Clients,3462
7,2018-08-01,8,2018,Strip Bond Trading (coupons and residuals)_Investment Dealers,130
79,2018-08-01,8,2018,Strip Bond Trading (coupons and residuals)_Issuer,25
67,2018-08-01,8,2018,Strip Bond Trading (coupons and residuals)_Non-Residents,267
55,2018-08-01,8,2018,Strip Bond Trading (coupons and residuals)_Retail Clients,319
104,2018-09-01,9,2018,Municipal bonds_Anonymous Systems: IDBBs and ATSs,1067
116,2018-09-01,9,2018,Municipal bonds_Banks,302
128,2018-09-01,9,2018,Municipal bonds_Institutional Clients,1822
92,2018-09-01,9,2018,Municipal bonds_Investment Dealers,318
164,2018-09-01,9,2018,Municipal bonds_Issuer,0
152,2018-09-01,9,2018,Municipal bonds_Non-Residents,295
140,2018-09-01,9,2018,Municipal bonds_Retail Clients,142
20,2018-09-01,9,2018,Strip Bond Trading (coupons and residuals)_Anonymous Systems: IDBBs and ATSs,608
32,2018-09-01,9,2018,Strip Bond Trading (coupons and residuals)_Banks,113
44,2018-09-01,9,2018,Strip Bond Trading (coupons and residuals)_Institutional Clients,3067
8,2018-09-01,9,2018,Strip Bond Trading (coupons and residuals)_Investment Dealers,224
80,2018-09-01,9,2018,Strip Bond Trading (coupons and residuals)_Issuer,48
68,2018-09-01,9,2018,Strip Bond Trading (coupons and residuals)_Non-Residents,972
56,2018-09-01,9,2018,Strip Bond Trading (coupons and residuals)_Retail Clients,281
105,2018-10-01,10,2018,Municipal bonds_Anonymous Systems: IDBBs and ATSs,616
117,2018-10-01,10,2018,Municipal bonds_Banks,282
129,2018-10-01,10,2018,Municipal bonds_Institutional Clients,1328
93,2018-10-01,10,2018,Municipal bonds_Investment Dealers,306
165,2018-10-01,10,2018,Municipal bonds_Issuer,0
153,2018-10-01,10,2018,Municipal bonds_Non-Residents,124
141,2018-10-01,10,2018,Municipal bonds_Retail Clients,149
21,2018-10-01,10,2018,Strip Bond Trading (coupons and residuals)_Anonymous Systems: IDBBs and ATSs,483
33,2018-10-01,10,2018,Strip Bond Trading (coupons and residuals)_Banks,319
45,2018-10-01,10,2018,Strip Bond Trading (coupons and residuals)_Institutional Clients,2788
9,2018-10-01,10,2018,Strip Bond Trading (coupons and residuals)_Investment Dealers,278
81,2018-10-01,10,2018,Strip Bond Trading (coupons and residuals)_Issuer,10
69,2018-10-01,10,2018,Strip Bond Trading (coupons and residuals)_Non-Residents,81
57,2018-10-01,10,2018,Strip Bond Trading (coupons and residuals)_Retail Clients,305
106,2018-11-01,11,2018,Municipal bonds_Anonymous Systems: IDBBs and ATSs,646
118,2018-11-01,11,2018,Municipal bonds_Banks,139
130,2018-11-01,11,2018,Municipal bonds_Institutional Clients,1359
94,2018-11-01,11,2018,Municipal bonds_Investment Dealers,191
166,2018-11-01,11,2018,Municipal bonds_Issuer,0
154,2018-11-01,11,2018,Municipal bonds_Non-Residents,263
142,2018-11-01,11,2018,Municipal bonds_Retail Clients,161
22,2018-11-01,11,2018,Strip Bond Trading (coupons and residuals)_Anonymous Systems: IDBBs and ATSs,1282
34,2018-11-01,11,2018,Strip Bond Trading (coupons and residuals)_Banks,132
46,2018-11-01,11,2018,Strip Bond Trading (coupons and residuals)_Institutional Clients,3036
10,2018-11-01,11,2018,Strip Bond Trading (coupons and residuals)_Investment Dealers,296
82,2018-11-01,11,2018,Strip Bond Trading (coupons and residuals)_Issuer,205
70,2018-11-01,11,2018,Strip Bond Trading (coupons and residuals)_Non-Residents,376
58,2018-11-01,11,2018,Strip Bond Trading (coupons and residuals)_Retail Clients,300
107,2018-12-01,12,2018,Municipal bonds_Anonymous Systems: IDBBs and ATSs,222
119,2018-12-01,12,2018,Municipal bonds_Banks,98
131,2018-12-01,12,2018,Municipal bonds_Institutional Clients,756
95,2018-12-01,12,2018,Municipal bonds_Investment Dealers,89
167,2018-12-01,12,2018,Municipal bonds_Issuer,0
155,2018-12-01,12,2018,Municipal bonds_Non-Residents,215
143,2018-12-01,12,2018,Municipal bonds_Retail Clients,109
23,2018-12-01,12,2018,Strip Bond Trading (coupons and residuals)_Anonymous Systems: IDBBs and ATSs,275
35,2018-12-01,12,2018,Strip Bond Trading (coupons and residuals)_Banks,56
47,2018-12-01,12,2018,Strip Bond Trading (coupons and residuals)_Institutional Clients,2392
11,2018-12-01,12,2018,Strip Bond Trading (coupons and residuals)_Investment Dealers,316
83,2018-12-01,12,2018,Strip Bond Trading (coupons and residuals)_Issuer,32
71,2018-12-01,12,2018,Strip Bond Trading (coupons and residuals)_Non-Residents,1010
