,date,month,year,instruments,volume
42,2018-07-01,7,2018,Federal Crown Corporation Bonds_All,221342
150,2018-07-01,7,2018,Government of Canada Bonds_All,364
114,2018-07-01,7,2018,Mortgage Backed Securities_All,10987
102,2018-07-01,7,2018,Municipal Bonds_All,1420
138,2018-07-01,7,2018,Other Domestic Bonds_All,2106
174,2018-07-01,7,2018,Other_All,2366
162,2018-07-01,7,2018,Provincial Bonds_All,5430
66,2018-07-01,7,2018,Provincial Bonds_Over 10 years,91989
54,2018-07-01,7,2018,Provincial Bonds_Under 10 years,222184
6,2018-07-01,7,2018,The Month_3-10 years,610724
18,2018-07-01,7,2018,The Month_Over 10 years,139986
30,2018-07-01,7,2018,The Month_Real Return Bonds,63715
127,2018-08-01,8,2018,Asset-Backed Securities_All,17
91,2018-08-01,8,2018,Corporate Bonds_Over 10 years,1243
79,2018-08-01,8,2018,Corporate Bonds_Under 10 years,30457
43,2018-08-01,8,2018,Federal Crown Corporation Bonds_All,246840
151,2018-08-01,8,2018,Government of Canada Bonds_All,490
115,2018-08-01,8,2018,Mortgage Backed Securities_All,16884
103,2018-08-01,8,2018,Municipal Bonds_All,1769
139,2018-08-01,8,2018,Other Domestic Bonds_All,2641
175,2018-08-01,8,2018,Other_All,2599
163,2018-08-01,8,2018,Provincial Bonds_All,7515
67,2018-08-01,8,2018,Provincial Bonds_Over 10 years,95810
55,2018-08-01,8,2018,Provincial Bonds_Under 10 years,213960
7,2018-08-01,8,2018,The Month_3-10 years,780753
19,2018-08-01,8,2018,The Month_Over 10 years,199462
31,2018-08-01,8,2018,The Month_Real Return Bonds,62146
128,2018-09-01,9,2018,Asset-Backed Securities_All,17
92,2018-09-01,9,2018,Corporate Bonds_Over 10 years,2273
80,2018-09-01,9,2018,Corporate Bonds_Under 10 years,25966
44,2018-09-01,9,2018,Federal Crown Corporation Bonds_All,276629
152,2018-09-01,9,2018,Government of Canada Bonds_All,25
116,2018-09-01,9,2018,Mortgage Backed Securities_All,15857
104,2018-09-01,9,2018,Municipal Bonds_All,1635
140,2018-09-01,9,2018,Other Domestic Bonds_All,1236
176,2018-09-01,9,2018,Other_All,4311
164,2018-09-01,9,2018,Provincial Bonds_All,9353
68,2018-09-01,9,2018,Provincial Bonds_Over 10 years,97023
56,2018-09-01,9,2018,Provincial Bonds_Under 10 years,205266
8,2018-09-01,9,2018,The Month_3-10 years,651170
20,2018-09-01,9,2018,The Month_Over 10 years,170621
32,2018-09-01,9,2018,The Month_Real Return Bonds,65244
129,2018-10-01,10,2018,Asset-Backed Securities_All,17
93,2018-10-01,10,2018,Corporate Bonds_Over 10 years,2274
81,2018-10-01,10,2018,Corporate Bonds_Under 10 years,27938
45,2018-10-01,10,2018,Federal Crown Corporation Bonds_All,273678
153,2018-10-01,10,2018,Government of Canada Bonds_All,118
117,2018-10-01,10,2018,Mortgage Backed Securities_All,16670
105,2018-10-01,10,2018,Municipal Bonds_All,3147
141,2018-10-01,10,2018,Other Domestic Bonds_All,1130
177,2018-10-01,10,2018,Other_All,8534
165,2018-10-01,10,2018,Provincial Bonds_All,7800
69,2018-10-01,10,2018,Provincial Bonds_Over 10 years,107790
57,2018-10-01,10,2018,Provincial Bonds_Under 10 years,250259
9,2018-10-01,10,2018,The Month_3-10 years,720605
21,2018-10-01,10,2018,The Month_Over 10 years,270957
33,2018-10-01,10,2018,The Month_Real Return Bonds,85716
130,2018-11-01,11,2018,Asset-Backed Securities_All,17
94,2018-11-01,11,2018,Corporate Bonds_Over 10 years,2965
