,date,month,year,instruments,volume,Segment,AssetClass,Duration
77,2019-06-01,6,2019,Corporate Bonds_Issuer,49,CORP,Corporate Bonds,Issuer
65,2019-06-01,6,2019,Corporate Bonds_Non-Residents,6650,CORP,Corporate Bonds,Non-Residents
53,2019-06-01,6,2019,Corporate Bonds_Retail Clients,1731,CORP,Corporate Bonds,Retail Clients
101,2019-06-01,6,2019,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
113,2019-06-01,6,2019,Other Domestic Bonds_Banks,23,CORP,Other Domestic Bonds,Banks
125,2019-06-01,6,2019,Other Domestic Bonds_Institutional Clients,339,CORP,Other Domestic Bonds,Institutional Clients
89,2019-06-01,6,2019,Other Domestic Bonds_Investment Dealers,87,CORP,Other Domestic Bonds,Investment Dealers
161,2019-06-01,6,2019,Other Domestic Bonds_Issuer,0.0,CORP,Other Domestic Bonds,Issuer
149,2019-06-01,6,2019,Other Domestic Bonds_Non-Residents,668,CORP,Other Domestic Bonds,Non-Residents
137,2019-06-01,6,2019,Other Domestic Bonds_Retail Clients,69,CORP,Other Domestic Bonds,Retail Clients
18,2019-07-01,7,2019,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,1476,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
30,2019-07-01,7,2019,Corporate Bonds_Banks,1225,CORP,Corporate Bonds,Banks
42,2019-07-01,7,2019,Corporate Bonds_Institutional Clients,34381,CORP,Corporate Bonds,Institutional Clients
6,2019-07-01,7,2019,Corporate Bonds_Investment Dealers,3339,CORP,Corporate Bonds,Investment Dealers
78,2019-07-01,7,2019,Corporate Bonds_Issuer,0,CORP,Corporate Bonds,Issuer
66,2019-07-01,7,2019,Corporate Bonds_Non-Residents,4512,CORP,Corporate Bonds,Non-Residents
54,2019-07-01,7,2019,Corporate Bonds_Retail Clients,1371,CORP,Corporate Bonds,Retail Clients
102,2019-07-01,7,2019,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
114,2019-07-01,7,2019,Other Domestic Bonds_Banks,48,CORP,Other Domestic Bonds,Banks
126,2019-07-01,7,2019,Other Domestic Bonds_Institutional Clients,191,CORP,Other Domestic Bonds,Institutional Clients
90,2019-07-01,7,2019,Other Domestic Bonds_Investment Dealers,33,CORP,Other Domestic Bonds,Investment Dealers
162,2019-07-01,7,2019,Other Domestic Bonds_Issuer,1.0,CORP,Other Domestic Bonds,Issuer
150,2019-07-01,7,2019,Other Domestic Bonds_Non-Residents,311,CORP,Other Domestic Bonds,Non-Residents
138,2019-07-01,7,2019,Other Domestic Bonds_Retail Clients,26,CORP,Other Domestic Bonds,Retail Clients
19,2019-08-01,8,2019,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,1060,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
31,2019-08-01,8,2019,Corporate Bonds_Banks,1317,CORP,Corporate Bonds,Banks
43,2019-08-01,8,2019,Corporate Bonds_Institutional Clients,30467,CORP,Corporate Bonds,Institutional Clients
7,2019-08-01,8,2019,Corporate Bonds_Investment Dealers,2664,CORP,Corporate Bonds,Investment Dealers
79,2019-08-01,8,2019,Corporate Bonds_Issuer,186,CORP,Corporate Bonds,Issuer
67,2019-08-01,8,2019,Corporate Bonds_Non-Residents,3919,CORP,Corporate Bonds,Non-Residents
55,2019-08-01,8,2019,Corporate Bonds_Retail Clients,1085,CORP,Corporate Bonds,Retail Clients
103,2019-08-01,8,2019,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
115,2019-08-01,8,2019,Other Domestic Bonds_Banks,67,CORP,Other Domestic Bonds,Banks
127,2019-08-01,8,2019,Other Domestic Bonds_Institutional Clients,131,CORP,Other Domestic Bonds,Institutional Clients
91,2019-08-01,8,2019,Other Domestic Bonds_Investment Dealers,51,CORP,Other Domestic Bonds,Investment Dealers
163,2019-08-01,8,2019,Other Domestic Bonds_Issuer,28.0,CORP,Other Domestic Bonds,Issuer
151,2019-08-01,8,2019,Other Domestic Bonds_Non-Residents,367,CORP,Other Domestic Bonds,Non-Residents
139,2019-08-01,8,2019,Other Domestic Bonds_Retail Clients,119,CORP,Other Domestic Bonds,Retail Clients
20,2019-09-01,9,2019,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,1627,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
32,2019-09-01,9,2019,Corporate Bonds_Banks,2465,CORP,Corporate Bonds,Banks
44,2019-09-01,9,2019,Corporate Bonds_Institutional Clients,37846,CORP,Corporate Bonds,Institutional Clients
8,2019-09-01,9,2019,Corporate Bonds_Investment Dealers,2756,CORP,Corporate Bonds,Investment Dealers
80,2019-09-01,9,2019,Corporate Bonds_Issuer,147,CORP,Corporate Bonds,Issuer
68,2019-09-01,9,2019,Corporate Bonds_Non-Residents,4645,CORP,Corporate Bonds,Non-Residents
56,2019-09-01,9,2019,Corporate Bonds_Retail Clients,1419,CORP,Corporate Bonds,Retail Clients
104,2019-09-01,9,2019,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
116,2019-09-01,9,2019,Other Domestic Bonds_Banks,120,CORP,Other Domestic Bonds,Banks
128,2019-09-01,9,2019,Other Domestic Bonds_Institutional Clients,325,CORP,Other Domestic Bonds,Institutional Clients
92,2019-09-01,9,2019,Other Domestic Bonds_Investment Dealers,52,CORP,Other Domestic Bonds,Investment Dealers
164,2019-09-01,9,2019,Other Domestic Bonds_Issuer,0.0,CORP,Other Domestic Bonds,Issuer
152,2019-09-01,9,2019,Other Domestic Bonds_Non-Residents,605,CORP,Other Domestic Bonds,Non-Residents
140,2019-09-01,9,2019,Other Domestic Bonds_Retail Clients,30,CORP,Other Domestic Bonds,Retail Clients
21,2019-10-01,10,2019,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,2572,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
33,2019-10-01,10,2019,Corporate Bonds_Banks,2071,CORP,Corporate Bonds,Banks
45,2019-10-01,10,2019,Corporate Bonds_Institutional Clients,34409,CORP,Corporate Bonds,Institutional Clients
9,2019-10-01,10,2019,Corporate Bonds_Investment Dealers,3059,CORP,Corporate Bonds,Investment Dealers
81,2019-10-01,10,2019,Corporate Bonds_Issuer,53,CORP,Corporate Bonds,Issuer
69,2019-10-01,10,2019,Corporate Bonds_Non-Residents,4063,CORP,Corporate Bonds,Non-Residents
57,2019-10-01,10,2019,Corporate Bonds_Retail Clients,1508,CORP,Corporate Bonds,Retail Clients
105,2019-10-01,10,2019,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
117,2019-10-01,10,2019,Other Domestic Bonds_Banks,13,CORP,Other Domestic Bonds,Banks
129,2019-10-01,10,2019,Other Domestic Bonds_Institutional Clients,15,CORP,Other Domestic Bonds,Institutional Clients
93,2019-10-01,10,2019,Other Domestic Bonds_Investment Dealers,15,CORP,Other Domestic Bonds,Investment Dealers
165,2019-10-01,10,2019,Other Domestic Bonds_Issuer,0.0,CORP,Other Domestic Bonds,Issuer
153,2019-10-01,10,2019,Other Domestic Bonds_Non-Residents,192,CORP,Other Domestic Bonds,Non-Residents
141,2019-10-01,10,2019,Other Domestic Bonds_Retail Clients,6,CORP,Other Domestic Bonds,Retail Clients
22,2019-11-01,11,2019,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,1526,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
34,2019-11-01,11,2019,Corporate Bonds_Banks,2197,CORP,Corporate Bonds,Banks
46,2019-11-01,11,2019,Corporate Bonds_Institutional Clients,31444,CORP,Corporate Bonds,Institutional Clients
10,2019-11-01,11,2019,Corporate Bonds_Investment Dealers,3045,CORP,Corporate Bonds,Investment Dealers
82,2019-11-01,11,2019,Corporate Bonds_Issuer,93,CORP,Corporate Bonds,Issuer
70,2019-11-01,11,2019,Corporate Bonds_Non-Residents,3087,CORP,Corporate Bonds,Non-Residents
58,2019-11-01,11,2019,Corporate Bonds_Retail Clients,1994,CORP,Corporate Bonds,Retail Clients
106,2019-11-01,11,2019,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,10,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
118,2019-11-01,11,2019,Other Domestic Bonds_Banks,38,CORP,Other Domestic Bonds,Banks
130,2019-11-01,11,2019,Other Domestic Bonds_Institutional Clients,152,CORP,Other Domestic Bonds,Institutional Clients
94,2019-11-01,11,2019,Other Domestic Bonds_Investment Dealers,40,CORP,Other Domestic Bonds,Investment Dealers
166,2019-11-01,11,2019,Other Domestic Bonds_Issuer,0.0,CORP,Other Domestic Bonds,Issuer
154,2019-11-01,11,2019,Other Domestic Bonds_Non-Residents,221,CORP,Other Domestic Bonds,Non-Residents
142,2019-11-01,11,2019,Other Domestic Bonds_Retail Clients,9,CORP,Other Domestic Bonds,Retail Clients
23,2019-12-01,12,2019,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,2262,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
35,2019-12-01,12,2019,Corporate Bonds_Banks,2649,CORP,Corporate Bonds,Banks
47,2019-12-01,12,2019,Corporate Bonds_Institutional Clients,27944,CORP,Corporate Bonds,Institutional Clients
11,2019-12-01,12,2019,Corporate Bonds_Investment Dealers,2604,CORP,Corporate Bonds,Investment Dealers
83,2019-12-01,12,2019,Corporate Bonds_Issuer,136,CORP,Corporate Bonds,Issuer
71,2019-12-01,12,2019,Corporate Bonds_Non-Residents,2601,CORP,Corporate Bonds,Non-Residents
59,2019-12-01,12,2019,Corporate Bonds_Retail Clients,2039,CORP,Corporate Bonds,Retail Clients
107,2019-12-01,12,2019,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
119,2019-12-01,12,2019,Other Domestic Bonds_Banks,40,CORP,Other Domestic Bonds,Banks
131,2019-12-01,12,2019,Other Domestic Bonds_Institutional Clients,59,CORP,Other Domestic Bonds,Institutional Clients
95,2019-12-01,12,2019,Other Domestic Bonds_Investment Dealers,6,CORP,Other Domestic Bonds,Investment Dealers
167,2019-12-01,12,2019,Other Domestic Bonds_Issuer,0.0,CORP,Other Domestic Bonds,Issuer
155,2019-12-01,12,2019,Other Domestic Bonds_Non-Residents,134,CORP,Other Domestic Bonds,Non-Residents
143,2019-12-01,12,2019,Other Domestic Bonds_Retail Clients,8,CORP,Other Domestic Bonds,Retail Clients
12,2020-01-01,1,2020,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,2843.8095,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
24,2020-01-01,1,2020,Corporate Bonds_Banks,2432.967437,CORP,Corporate Bonds,Banks
36,2020-01-01,1,2020,Corporate Bonds_Institutional Clients,36886.06898,CORP,Corporate Bonds,Institutional Clients
0,2020-01-01,1,2020,Corporate Bonds_Investment Dealers,2869.28531,CORP,Corporate Bonds,Investment Dealers
72,2020-01-01,1,2020,Corporate Bonds_Issuer,33.108204,CORP,Corporate Bonds,Issuer
60,2020-01-01,1,2020,Corporate Bonds_Non-Residents,7606.329127,CORP,Corporate Bonds,Non-Residents
48,2020-01-01,1,2020,Corporate Bonds_Retail Clients,1920.513918,CORP,Corporate Bonds,Retail Clients
96,2020-01-01,1,2020,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,6.4,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
108,2020-01-01,1,2020,Other Domestic Bonds_Banks,53.316,CORP,Other Domestic Bonds,Banks
120,2020-01-01,1,2020,Other Domestic Bonds_Institutional Clients,63.837685,CORP,Other Domestic Bonds,Institutional Clients
84,2020-01-01,1,2020,Other Domestic Bonds_Investment Dealers,54.295614,CORP,Other Domestic Bonds,Investment Dealers
156,2020-01-01,1,2020,Other Domestic Bonds_Issuer,0.0,CORP,Other Domestic Bonds,Issuer
144,2020-01-01,1,2020,Other Domestic Bonds_Non-Residents,188.8605,CORP,Other Domestic Bonds,Non-Residents
132,2020-01-01,1,2020,Other Domestic Bonds_Retail Clients,100.286334,CORP,Other Domestic Bonds,Retail Clients
13,2020-02-01,2,2020,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,1861.139,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
25,2020-02-01,2,2020,Corporate Bonds_Banks,1217.800852,CORP,Corporate Bonds,Banks
37,2020-02-01,2,2020,Corporate Bonds_Institutional Clients,33675.934143,CORP,Corporate Bonds,Institutional Clients
1,2020-02-01,2,2020,Corporate Bonds_Investment Dealers,1906.654664,CORP,Corporate Bonds,Investment Dealers
73,2020-02-01,2,2020,Corporate Bonds_Issuer,35.963674,CORP,Corporate Bonds,Issuer
61,2020-02-01,2,2020,Corporate Bonds_Non-Residents,4681.813701,CORP,Corporate Bonds,Non-Residents
49,2020-02-01,2,2020,Corporate Bonds_Retail Clients,1774.537185,CORP,Corporate Bonds,Retail Clients
97,2020-02-01,2,2020,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
109,2020-02-01,2,2020,Other Domestic Bonds_Banks,1.544,CORP,Other Domestic Bonds,Banks
121,2020-02-01,2,2020,Other Domestic Bonds_Institutional Clients,50.8668,CORP,Other Domestic Bonds,Institutional Clients
85,2020-02-01,2,2020,Other Domestic Bonds_Investment Dealers,5.5943,CORP,Other Domestic Bonds,Investment Dealers
157,2020-02-01,2,2020,Other Domestic Bonds_Issuer,0.0,CORP,Other Domestic Bonds,Issuer
145,2020-02-01,2,2020,Other Domestic Bonds_Non-Residents,261.593,CORP,Other Domestic Bonds,Non-Residents
133,2020-02-01,2,2020,Other Domestic Bonds_Retail Clients,21.798133,CORP,Other Domestic Bonds,Retail Clients
14,2020-03-01,3,2020,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,977.5465,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
26,2020-03-01,3,2020,Corporate Bonds_Banks,6907.643912,CORP,Corporate Bonds,Banks
38,2020-03-01,3,2020,Corporate Bonds_Institutional Clients,45409.452495,CORP,Corporate Bonds,Institutional Clients
2,2020-03-01,3,2020,Corporate Bonds_Investment Dealers,5373.004479,CORP,Corporate Bonds,Investment Dealers
74,2020-03-01,3,2020,Corporate Bonds_Issuer,50.232521,CORP,Corporate Bonds,Issuer
62,2020-03-01,3,2020,Corporate Bonds_Non-Residents,4956.915509,CORP,Corporate Bonds,Non-Residents
50,2020-03-01,3,2020,Corporate Bonds_Retail Clients,1672.348434,CORP,Corporate Bonds,Retail Clients
98,2020-03-01,3,2020,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
110,2020-03-01,3,2020,Other Domestic Bonds_Banks,91.457647,CORP,Other Domestic Bonds,Banks
122,2020-03-01,3,2020,Other Domestic Bonds_Institutional Clients,185.1456,CORP,Other Domestic Bonds,Institutional Clients
86,2020-03-01,3,2020,Other Domestic Bonds_Investment Dealers,2.5011,CORP,Other Domestic Bonds,Investment Dealers
158,2020-03-01,3,2020,Other Domestic Bonds_Issuer,0.0,CORP,Other Domestic Bonds,Issuer
146,2020-03-01,3,2020,Other Domestic Bonds_Non-Residents,294.027,CORP,Other Domestic Bonds,Non-Residents
134,2020-03-01,3,2020,Other Domestic Bonds_Retail Clients,9.23338,CORP,Other Domestic Bonds,Retail Clients
15,2020-04-01,4,2020,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,723.7945,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
27,2020-04-01,4,2020,Corporate Bonds_Banks,4650.077485,CORP,Corporate Bonds,Banks
39,2020-04-01,4,2020,Corporate Bonds_Institutional Clients,48487.238742,CORP,Corporate Bonds,Institutional Clients
3,2020-04-01,4,2020,Corporate Bonds_Investment Dealers,3159.37235,CORP,Corporate Bonds,Investment Dealers
75,2020-04-01,4,2020,Corporate Bonds_Issuer,224.999742,CORP,Corporate Bonds,Issuer
63,2020-04-01,4,2020,Corporate Bonds_Non-Residents,5475.436396,CORP,Corporate Bonds,Non-Residents
51,2020-04-01,4,2020,Corporate Bonds_Retail Clients,1609.487094,CORP,Corporate Bonds,Retail Clients
99,2020-04-01,4,2020,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
111,2020-04-01,4,2020,Other Domestic Bonds_Banks,13.175733,CORP,Other Domestic Bonds,Banks
123,2020-04-01,4,2020,Other Domestic Bonds_Institutional Clients,94.213,CORP,Other Domestic Bonds,Institutional Clients
87,2020-04-01,4,2020,Other Domestic Bonds_Investment Dealers,58.0375,CORP,Other Domestic Bonds,Investment Dealers
159,2020-04-01,4,2020,Other Domestic Bonds_Issuer,0.0,CORP,Other Domestic Bonds,Issuer
147,2020-04-01,4,2020,Other Domestic Bonds_Non-Residents,65.038,CORP,Other Domestic Bonds,Non-Residents
135,2020-04-01,4,2020,Other Domestic Bonds_Retail Clients,0.9702,CORP,Other Domestic Bonds,Retail Clients
16,2020-05-01,5,2020,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,1194.6165,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
28,2020-05-01,5,2020,Corporate Bonds_Banks,1440.794574,CORP,Corporate Bonds,Banks
40,2020-05-01,5,2020,Corporate Bonds_Institutional Clients,41892.419416,CORP,Corporate Bonds,Institutional Clients
4,2020-05-01,5,2020,Corporate Bonds_Investment Dealers,2257.062501,CORP,Corporate Bonds,Investment Dealers
76,2020-05-01,5,2020,Corporate Bonds_Issuer,230.498408,CORP,Corporate Bonds,Issuer
64,2020-05-01,5,2020,Corporate Bonds_Non-Residents,4051.30567,CORP,Corporate Bonds,Non-Residents
52,2020-05-01,5,2020,Corporate Bonds_Retail Clients,1510.499039,CORP,Corporate Bonds,Retail Clients
100,2020-05-01,5,2020,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
112,2020-05-01,5,2020,Other Domestic Bonds_Banks,52.367555,CORP,Other Domestic Bonds,Banks
124,2020-05-01,5,2020,Other Domestic Bonds_Institutional Clients,98.391,CORP,Other Domestic Bonds,Institutional Clients
88,2020-05-01,5,2020,Other Domestic Bonds_Investment Dealers,4.784,CORP,Other Domestic Bonds,Investment Dealers
160,2020-05-01,5,2020,Other Domestic Bonds_Issuer,0.0,CORP,Other Domestic Bonds,Issuer
148,2020-05-01,5,2020,Other Domestic Bonds_Non-Residents,65.221,CORP,Other Domestic Bonds,Non-Residents
136,2020-05-01,5,2020,Other Domestic Bonds_Retail Clients,0.627925,CORP,Other Domestic Bonds,Retail Clients
17,2020-06-01,6,2020,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,945.054,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
29,2020-06-01,6,2020,Corporate Bonds_Banks,1134.458258,CORP,Corporate Bonds,Banks
41,2020-06-01,6,2020,Corporate Bonds_Institutional Clients,44680.198126,CORP,Corporate Bonds,Institutional Clients
5,2020-06-01,6,2020,Corporate Bonds_Investment Dealers,2480.66673,CORP,Corporate Bonds,Investment Dealers
77,2020-06-01,6,2020,Corporate Bonds_Issuer,61.539037,CORP,Corporate Bonds,Issuer
65,2020-06-01,6,2020,Corporate Bonds_Non-Residents,5170.008503,CORP,Corporate Bonds,Non-Residents
53,2020-06-01,6,2020,Corporate Bonds_Retail Clients,1596.777098,CORP,Corporate Bonds,Retail Clients
101,2020-06-01,6,2020,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,42.2,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
113,2020-06-01,6,2020,Other Domestic Bonds_Banks,0.560513,CORP,Other Domestic Bonds,Banks
125,2020-06-01,6,2020,Other Domestic Bonds_Institutional Clients,29.566,CORP,Other Domestic Bonds,Institutional Clients
89,2020-06-01,6,2020,Other Domestic Bonds_Investment Dealers,3.2045,CORP,Other Domestic Bonds,Investment Dealers
161,2020-06-01,6,2020,Other Domestic Bonds_Issuer,0.0,CORP,Other Domestic Bonds,Issuer
149,2020-06-01,6,2020,Other Domestic Bonds_Non-Residents,53.603,CORP,Other Domestic Bonds,Non-Residents
137,2020-06-01,6,2020,Other Domestic Bonds_Retail Clients,1.151097,CORP,Other Domestic Bonds,Retail Clients
18,2020-07-01,7,2020,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,1173.476,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
30,2020-07-01,7,2020,Corporate Bonds_Banks,950.919251,CORP,Corporate Bonds,Banks
42,2020-07-01,7,2020,Corporate Bonds_Institutional Clients,28693.632514,CORP,Corporate Bonds,Institutional Clients
6,2020-07-01,7,2020,Corporate Bonds_Investment Dealers,1526.660144,CORP,Corporate Bonds,Investment Dealers
78,2020-07-01,7,2020,Corporate Bonds_Issuer,108.778039,CORP,Corporate Bonds,Issuer
66,2020-07-01,7,2020,Corporate Bonds_Non-Residents,5013.922345,CORP,Corporate Bonds,Non-Residents
54,2020-07-01,7,2020,Corporate Bonds_Retail Clients,1110.797651,CORP,Corporate Bonds,Retail Clients
102,2020-07-01,7,2020,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,14,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
114,2020-07-01,7,2020,Other Domestic Bonds_Banks,4.280208,CORP,Other Domestic Bonds,Banks
126,2020-07-01,7,2020,Other Domestic Bonds_Institutional Clients,117.801,CORP,Other Domestic Bonds,Institutional Clients
90,2020-07-01,7,2020,Other Domestic Bonds_Investment Dealers,4.5295,CORP,Other Domestic Bonds,Investment Dealers
162,2020-07-01,7,2020,Other Domestic Bonds_Issuer,0.0,CORP,Other Domestic Bonds,Issuer
150,2020-07-01,7,2020,Other Domestic Bonds_Non-Residents,83.239,CORP,Other Domestic Bonds,Non-Residents
138,2020-07-01,7,2020,Other Domestic Bonds_Retail Clients,3.035742,CORP,Other Domestic Bonds,Retail Clients
19,2020-08-01,8,2020,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,660.8545,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
31,2020-08-01,8,2020,Corporate Bonds_Banks,1066.826182,CORP,Corporate Bonds,Banks
43,2020-08-01,8,2020,Corporate Bonds_Institutional Clients,29431.781177,CORP,Corporate Bonds,Institutional Clients
7,2020-08-01,8,2020,Corporate Bonds_Investment Dealers,2079.135902,CORP,Corporate Bonds,Investment Dealers
79,2020-08-01,8,2020,Corporate Bonds_Issuer,249.845137,CORP,Corporate Bonds,Issuer
67,2020-08-01,8,2020,Corporate Bonds_Non-Residents,5718.986242,CORP,Corporate Bonds,Non-Residents
55,2020-08-01,8,2020,Corporate Bonds_Retail Clients,692.138259,CORP,Corporate Bonds,Retail Clients
103,2020-08-01,8,2020,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,4,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
115,2020-08-01,8,2020,Other Domestic Bonds_Banks,12.925,CORP,Other Domestic Bonds,Banks
127,2020-08-01,8,2020,Other Domestic Bonds_Institutional Clients,52.042,CORP,Other Domestic Bonds,Institutional Clients
91,2020-08-01,8,2020,Other Domestic Bonds_Investment Dealers,2.575,CORP,Other Domestic Bonds,Investment Dealers
163,2020-08-01,8,2020,Other Domestic Bonds_Issuer,0.0,CORP,Other Domestic Bonds,Issuer
151,2020-08-01,8,2020,Other Domestic Bonds_Non-Residents,29.27,CORP,Other Domestic Bonds,Non-Residents
139,2020-08-01,8,2020,Other Domestic Bonds_Retail Clients,0.654465,CORP,Other Domestic Bonds,Retail Clients
20,2020-09-01,9,2020,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,1304.714,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
32,2020-09-01,9,2020,Corporate Bonds_Banks,1444.059229,CORP,Corporate Bonds,Banks
44,2020-09-01,9,2020,Corporate Bonds_Institutional Clients,38244.168289,CORP,Corporate Bonds,Institutional Clients
8,2020-09-01,9,2020,Corporate Bonds_Investment Dealers,3495.56619,CORP,Corporate Bonds,Investment Dealers
80,2020-09-01,9,2020,Corporate Bonds_Issuer,144.563847,CORP,Corporate Bonds,Issuer
68,2020-09-01,9,2020,Corporate Bonds_Non-Residents,8284.814102,CORP,Corporate Bonds,Non-Residents
56,2020-09-01,9,2020,Corporate Bonds_Retail Clients,1173.686823,CORP,Corporate Bonds,Retail Clients
104,2020-09-01,9,2020,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
116,2020-09-01,9,2020,Other Domestic Bonds_Banks,240.373628,CORP,Other Domestic Bonds,Banks
128,2020-09-01,9,2020,Other Domestic Bonds_Institutional Clients,36.644,CORP,Other Domestic Bonds,Institutional Clients
92,2020-09-01,9,2020,Other Domestic Bonds_Investment Dealers,24.3,CORP,Other Domestic Bonds,Investment Dealers
164,2020-09-01,9,2020,Other Domestic Bonds_Issuer,0.0,CORP,Other Domestic Bonds,Issuer
152,2020-09-01,9,2020,Other Domestic Bonds_Non-Residents,72.03,CORP,Other Domestic Bonds,Non-Residents
140,2020-09-01,9,2020,Other Domestic Bonds_Retail Clients,0.362408,CORP,Other Domestic Bonds,Retail Clients
21,2020-10-01,10,2020,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,1577.635,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
33,2020-10-01,10,2020,Corporate Bonds_Banks,830.762764,CORP,Corporate Bonds,Banks
45,2020-10-01,10,2020,Corporate Bonds_Institutional Clients,38352.794895,CORP,Corporate Bonds,Institutional Clients
9,2020-10-01,10,2020,Corporate Bonds_Investment Dealers,2367.894856,CORP,Corporate Bonds,Investment Dealers
81,2020-10-01,10,2020,Corporate Bonds_Issuer,182.809317,CORP,Corporate Bonds,Issuer
69,2020-10-01,10,2020,Corporate Bonds_Non-Residents,8481.325648,CORP,Corporate Bonds,Non-Residents
57,2020-10-01,10,2020,Corporate Bonds_Retail Clients,1117.815746,CORP,Corporate Bonds,Retail Clients
105,2020-10-01,10,2020,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
117,2020-10-01,10,2020,Other Domestic Bonds_Banks,22.375,CORP,Other Domestic Bonds,Banks
129,2020-10-01,10,2020,Other Domestic Bonds_Institutional Clients,267.576,CORP,Other Domestic Bonds,Institutional Clients
93,2020-10-01,10,2020,Other Domestic Bonds_Investment Dealers,46.915,CORP,Other Domestic Bonds,Investment Dealers
165,2020-10-01,10,2020,Other Domestic Bonds_Issuer,0.0,CORP,Other Domestic Bonds,Issuer
153,2020-10-01,10,2020,Other Domestic Bonds_Non-Residents,216.504,CORP,Other Domestic Bonds,Non-Residents
141,2020-10-01,10,2020,Other Domestic Bonds_Retail Clients,1.864794,CORP,Other Domestic Bonds,Retail Clients
22,2020-11-01,11,2020,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,1801.706,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
34,2020-11-01,11,2020,Corporate Bonds_Banks,1526.962195,CORP,Corporate Bonds,Banks
46,2020-11-01,11,2020,Corporate Bonds_Institutional Clients,32591.391363,CORP,Corporate Bonds,Institutional Clients
