,date,month,year,instruments,volume,Segment,AssetClass,Duration
51,2018-04-01,4,2018,Corporate Bonds_Retail Clients,1370,CORP,Corporate Bonds,Retail Clients
99,2018-04-01,4,2018,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
111,2018-04-01,4,2018,Other Domestic Bonds_Banks,26,CORP,Other Domestic Bonds,Banks
123,2018-04-01,4,2018,Other Domestic Bonds_Institutional Clients,215,CORP,Other Domestic Bonds,Institutional Clients
87,2018-04-01,4,2018,Other Domestic Bonds_Investment Dealers,27,CORP,Other Domestic Bonds,Investment Dealers
159,2018-04-01,4,2018,Other Domestic Bonds_Issuer,0.0,CORP,Other Domestic Bonds,Issuer
147,2018-04-01,4,2018,Other Domestic Bonds_Non-Residents,891,CORP,Other Domestic Bonds,Non-Residents
135,2018-04-01,4,2018,Other Domestic Bonds_Retail Clients,1,CORP,Other Domestic Bonds,Retail Clients
16,2018-05-01,5,2018,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,2157,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
28,2018-05-01,5,2018,Corporate Bonds_Banks,1440,CORP,Corporate Bonds,Banks
40,2018-05-01,5,2018,Corporate Bonds_Institutional Clients,42201,CORP,Corporate Bonds,Institutional Clients
4,2018-05-01,5,2018,Corporate Bonds_Investment Dealers,3211,CORP,Corporate Bonds,Investment Dealers
76,2018-05-01,5,2018,Corporate Bonds_Issuer,27,CORP,Corporate Bonds,Issuer
64,2018-05-01,5,2018,Corporate Bonds_Non-Residents,4722,CORP,Corporate Bonds,Non-Residents
52,2018-05-01,5,2018,Corporate Bonds_Retail Clients,1706,CORP,Corporate Bonds,Retail Clients
100,2018-05-01,5,2018,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
112,2018-05-01,5,2018,Other Domestic Bonds_Banks,23,CORP,Other Domestic Bonds,Banks
124,2018-05-01,5,2018,Other Domestic Bonds_Institutional Clients,53,CORP,Other Domestic Bonds,Institutional Clients
88,2018-05-01,5,2018,Other Domestic Bonds_Investment Dealers,31,CORP,Other Domestic Bonds,Investment Dealers
160,2018-05-01,5,2018,Other Domestic Bonds_Issuer,7032.0,CORP,Other Domestic Bonds,Issuer
148,2018-05-01,5,2018,Other Domestic Bonds_Non-Residents,398,CORP,Other Domestic Bonds,Non-Residents
136,2018-05-01,5,2018,Other Domestic Bonds_Retail Clients,5,CORP,Other Domestic Bonds,Retail Clients
17,2018-06-01,6,2018,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,1815,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
29,2018-06-01,6,2018,Corporate Bonds_Banks,1715,CORP,Corporate Bonds,Banks
41,2018-06-01,6,2018,Corporate Bonds_Institutional Clients,37841,CORP,Corporate Bonds,Institutional Clients
5,2018-06-01,6,2018,Corporate Bonds_Investment Dealers,3347,CORP,Corporate Bonds,Investment Dealers
77,2018-06-01,6,2018,Corporate Bonds_Issuer,13,CORP,Corporate Bonds,Issuer
65,2018-06-01,6,2018,Corporate Bonds_Non-Residents,7422,CORP,Corporate Bonds,Non-Residents
53,2018-06-01,6,2018,Corporate Bonds_Retail Clients,1545,CORP,Corporate Bonds,Retail Clients
101,2018-06-01,6,2018,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,3,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
113,2018-06-01,6,2018,Other Domestic Bonds_Banks,67,CORP,Other Domestic Bonds,Banks
125,2018-06-01,6,2018,Other Domestic Bonds_Institutional Clients,1225,CORP,Other Domestic Bonds,Institutional Clients
89,2018-06-01,6,2018,Other Domestic Bonds_Investment Dealers,57,CORP,Other Domestic Bonds,Investment Dealers
161,2018-06-01,6,2018,Other Domestic Bonds_Issuer,12469.0,CORP,Other Domestic Bonds,Issuer
149,2018-06-01,6,2018,Other Domestic Bonds_Non-Residents,251,CORP,Other Domestic Bonds,Non-Residents
137,2018-06-01,6,2018,Other Domestic Bonds_Retail Clients,6,CORP,Other Domestic Bonds,Retail Clients
18,2018-07-01,7,2018,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,1729,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
30,2018-07-01,7,2018,Corporate Bonds_Banks,1358,CORP,Corporate Bonds,Banks
42,2018-07-01,7,2018,Corporate Bonds_Institutional Clients,35499,CORP,Corporate Bonds,Institutional Clients
6,2018-07-01,7,2018,Corporate Bonds_Investment Dealers,2805,CORP,Corporate Bonds,Investment Dealers
78,2018-07-01,7,2018,Corporate Bonds_Issuer,64,CORP,Corporate Bonds,Issuer
66,2018-07-01,7,2018,Corporate Bonds_Non-Residents,7910,CORP,Corporate Bonds,Non-Residents
54,2018-07-01,7,2018,Corporate Bonds_Retail Clients,1487,CORP,Corporate Bonds,Retail Clients
102,2018-07-01,7,2018,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
114,2018-07-01,7,2018,Other Domestic Bonds_Banks,24,CORP,Other Domestic Bonds,Banks
126,2018-07-01,7,2018,Other Domestic Bonds_Institutional Clients,90,CORP,Other Domestic Bonds,Institutional Clients
90,2018-07-01,7,2018,Other Domestic Bonds_Investment Dealers,23,CORP,Other Domestic Bonds,Investment Dealers
162,2018-07-01,7,2018,Other Domestic Bonds_Issuer,0.0,CORP,Other Domestic Bonds,Issuer
150,2018-07-01,7,2018,Other Domestic Bonds_Non-Residents,112,CORP,Other Domestic Bonds,Non-Residents
138,2018-07-01,7,2018,Other Domestic Bonds_Retail Clients,11,CORP,Other Domestic Bonds,Retail Clients
19,2018-08-01,8,2018,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,1613,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
31,2018-08-01,8,2018,Corporate Bonds_Banks,1118,CORP,Corporate Bonds,Banks
43,2018-08-01,8,2018,Corporate Bonds_Institutional Clients,33531,CORP,Corporate Bonds,Institutional Clients
7,2018-08-01,8,2018,Corporate Bonds_Investment Dealers,2304,CORP,Corporate Bonds,Investment Dealers
79,2018-08-01,8,2018,Corporate Bonds_Issuer,565,CORP,Corporate Bonds,Issuer
67,2018-08-01,8,2018,Corporate Bonds_Non-Residents,5923,CORP,Corporate Bonds,Non-Residents
55,2018-08-01,8,2018,Corporate Bonds_Retail Clients,1491,CORP,Corporate Bonds,Retail Clients
103,2018-08-01,8,2018,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
115,2018-08-01,8,2018,Other Domestic Bonds_Banks,9,CORP,Other Domestic Bonds,Banks
127,2018-08-01,8,2018,Other Domestic Bonds_Institutional Clients,31,CORP,Other Domestic Bonds,Institutional Clients
91,2018-08-01,8,2018,Other Domestic Bonds_Investment Dealers,2,CORP,Other Domestic Bonds,Investment Dealers
163,2018-08-01,8,2018,Other Domestic Bonds_Issuer,0.0,CORP,Other Domestic Bonds,Issuer
151,2018-08-01,8,2018,Other Domestic Bonds_Non-Residents,150,CORP,Other Domestic Bonds,Non-Residents
139,2018-08-01,8,2018,Other Domestic Bonds_Retail Clients,5,CORP,Other Domestic Bonds,Retail Clients
20,2018-09-01,9,2018,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,5008,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
32,2018-09-01,9,2018,Corporate Bonds_Banks,1081,CORP,Corporate Bonds,Banks
44,2018-09-01,9,2018,Corporate Bonds_Institutional Clients,35094,CORP,Corporate Bonds,Institutional Clients
8,2018-09-01,9,2018,Corporate Bonds_Investment Dealers,2335,CORP,Corporate Bonds,Investment Dealers
80,2018-09-01,9,2018,Corporate Bonds_Issuer,14,CORP,Corporate Bonds,Issuer
68,2018-09-01,9,2018,Corporate Bonds_Non-Residents,5457,CORP,Corporate Bonds,Non-Residents
56,2018-09-01,9,2018,Corporate Bonds_Retail Clients,1464,CORP,Corporate Bonds,Retail Clients
104,2018-09-01,9,2018,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
116,2018-09-01,9,2018,Other Domestic Bonds_Banks,20,CORP,Other Domestic Bonds,Banks
128,2018-09-01,9,2018,Other Domestic Bonds_Institutional Clients,355,CORP,Other Domestic Bonds,Institutional Clients
92,2018-09-01,9,2018,Other Domestic Bonds_Investment Dealers,10,CORP,Other Domestic Bonds,Investment Dealers
164,2018-09-01,9,2018,Other Domestic Bonds_Issuer,0.0,CORP,Other Domestic Bonds,Issuer
152,2018-09-01,9,2018,Other Domestic Bonds_Non-Residents,227,CORP,Other Domestic Bonds,Non-Residents
140,2018-09-01,9,2018,Other Domestic Bonds_Retail Clients,105,CORP,Other Domestic Bonds,Retail Clients
