,date,month,year,instruments,volume
77,2018-06-01,6,2018,Federal Crown Corporation Bonds_Issuer,0
65,2018-06-01,6,2018,Federal Crown Corporation Bonds_Non-Residents,12637
53,2018-06-01,6,2018,Federal Crown Corporation Bonds_Retail Clients,145
101,2018-06-01,6,2018,Provincial Bonds_Anonymous Systems: IDBBs and ATSs,29917
113,2018-06-01,6,2018,Provincial Bonds_Banks,8812
125,2018-06-01,6,2018,Provincial Bonds_Institutional Clients,42648
89,2018-06-01,6,2018,Provincial Bonds_Investment Dealers,4028
161,2018-06-01,6,2018,Provincial Bonds_Issuer,816
149,2018-06-01,6,2018,Provincial Bonds_Non-Residents,5686
137,2018-06-01,6,2018,Provincial Bonds_Retail Clients,640
18,2018-07-01,7,2018,Federal Crown Corporation Bonds_Anonymous Systems: IDBBs and ATSs,12339
30,2018-07-01,7,2018,Federal Crown Corporation Bonds_Banks,3479
42,2018-07-01,7,2018,Federal Crown Corporation Bonds_Institutional Clients,12954
6,2018-07-01,7,2018,Federal Crown Corporation Bonds_Investment Dealers,1455
78,2018-07-01,7,2018,Federal Crown Corporation Bonds_Issuer,0
66,2018-07-01,7,2018,Federal Crown Corporation Bonds_Non-Residents,3726
54,2018-07-01,7,2018,Federal Crown Corporation Bonds_Retail Clients,95
102,2018-07-01,7,2018,Provincial Bonds_Anonymous Systems: IDBBs and ATSs,21428
114,2018-07-01,7,2018,Provincial Bonds_Banks,7381
126,2018-07-01,7,2018,Provincial Bonds_Institutional Clients,38594
90,2018-07-01,7,2018,Provincial Bonds_Investment Dealers,4077
162,2018-07-01,7,2018,Provincial Bonds_Issuer,973
150,2018-07-01,7,2018,Provincial Bonds_Non-Residents,3966
138,2018-07-01,7,2018,Provincial Bonds_Retail Clients,514
19,2018-08-01,8,2018,Federal Crown Corporation Bonds_Anonymous Systems: IDBBs and ATSs,12531
31,2018-08-01,8,2018,Federal Crown Corporation Bonds_Banks,4369
43,2018-08-01,8,2018,Federal Crown Corporation Bonds_Institutional Clients,17709
7,2018-08-01,8,2018,Federal Crown Corporation Bonds_Investment Dealers,3491
79,2018-08-01,8,2018,Federal Crown Corporation Bonds_Issuer,15
67,2018-08-01,8,2018,Federal Crown Corporation Bonds_Non-Residents,5887
55,2018-08-01,8,2018,Federal Crown Corporation Bonds_Retail Clients,140
103,2018-08-01,8,2018,Provincial Bonds_Anonymous Systems: IDBBs and ATSs,25350
115,2018-08-01,8,2018,Provincial Bonds_Banks,7112
127,2018-08-01,8,2018,Provincial Bonds_Institutional Clients,35959
91,2018-08-01,8,2018,Provincial Bonds_Investment Dealers,4196
163,2018-08-01,8,2018,Provincial Bonds_Issuer,301
151,2018-08-01,8,2018,Provincial Bonds_Non-Residents,6958
139,2018-08-01,8,2018,Provincial Bonds_Retail Clients,422
20,2018-09-01,9,2018,Federal Crown Corporation Bonds_Anonymous Systems: IDBBs and ATSs,16110
32,2018-09-01,9,2018,Federal Crown Corporation Bonds_Banks,5761
44,2018-09-01,9,2018,Federal Crown Corporation Bonds_Institutional Clients,20307
8,2018-09-01,9,2018,Federal Crown Corporation Bonds_Investment Dealers,5385
80,2018-09-01,9,2018,Federal Crown Corporation Bonds_Issuer,0
68,2018-09-01,9,2018,Federal Crown Corporation Bonds_Non-Residents,4204
56,2018-09-01,9,2018,Federal Crown Corporation Bonds_Retail Clients,198
104,2018-09-01,9,2018,Provincial Bonds_Anonymous Systems: IDBBs and ATSs,32701
116,2018-09-01,9,2018,Provincial Bonds_Banks,7538
128,2018-09-01,9,2018,Provincial Bonds_Institutional Clients,46287
92,2018-09-01,9,2018,Provincial Bonds_Investment Dealers,4193
164,2018-09-01,9,2018,Provincial Bonds_Issuer,387
152,2018-09-01,9,2018,Provincial Bonds_Non-Residents,5519
140,2018-09-01,9,2018,Provincial Bonds_Retail Clients,498
21,2018-10-01,10,2018,Federal Crown Corporation Bonds_Anonymous Systems: IDBBs and ATSs,20576
33,2018-10-01,10,2018,Federal Crown Corporation Bonds_Banks,7513
45,2018-10-01,10,2018,Federal Crown Corporation Bonds_Institutional Clients,23041
9,2018-10-01,10,2018,Federal Crown Corporation Bonds_Investment Dealers,3923
81,2018-10-01,10,2018,Federal Crown Corporation Bonds_Issuer,0
69,2018-10-01,10,2018,Federal Crown Corporation Bonds_Non-Residents,5250
57,2018-10-01,10,2018,Federal Crown Corporation Bonds_Retail Clients,154
105,2018-10-01,10,2018,Provincial Bonds_Anonymous Systems: IDBBs and ATSs,31137
117,2018-10-01,10,2018,Provincial Bonds_Banks,16518
129,2018-10-01,10,2018,Provincial Bonds_Institutional Clients,54409
93,2018-10-01,10,2018,Provincial Bonds_Investment Dealers,6777
165,2018-10-01,10,2018,Provincial Bonds_Issuer,491
153,2018-10-01,10,2018,Provincial Bonds_Non-Residents,9052
141,2018-10-01,10,2018,Provincial Bonds_Retail Clients,556
22,2018-11-01,11,2018,Federal Crown Corporation Bonds_Anonymous Systems: IDBBs and ATSs,17920
34,2018-11-01,11,2018,Federal Crown Corporation Bonds_Banks,5561
46,2018-11-01,11,2018,Federal Crown Corporation Bonds_Institutional Clients,20443
10,2018-11-01,11,2018,Federal Crown Corporation Bonds_Investment Dealers,2692
82,2018-11-01,11,2018,Federal Crown Corporation Bonds_Issuer,65
70,2018-11-01,11,2018,Federal Crown Corporation Bonds_Non-Residents,6786
58,2018-11-01,11,2018,Federal Crown Corporation Bonds_Retail Clients,532
106,2018-11-01,11,2018,Provincial Bonds_Anonymous Systems: IDBBs and ATSs,36373
118,2018-11-01,11,2018,Provincial Bonds_Banks,11424
130,2018-11-01,11,2018,Provincial Bonds_Institutional Clients,42862
94,2018-11-01,11,2018,Provincial Bonds_Investment Dealers,6123
166,2018-11-01,11,2018,Provincial Bonds_Issuer,395
154,2018-11-01,11,2018,Provincial Bonds_Non-Residents,12415
142,2018-11-01,11,2018,Provincial Bonds_Retail Clients,496
23,2018-12-01,12,2018,Federal Crown Corporation Bonds_Anonymous Systems: IDBBs and ATSs,13180
35,2018-12-01,12,2018,Federal Crown Corporation Bonds_Banks,5254
47,2018-12-01,12,2018,Federal Crown Corporation Bonds_Institutional Clients,28665
11,2018-12-01,12,2018,Federal Crown Corporation Bonds_Investment Dealers,2885
83,2018-12-01,12,2018,Federal Crown Corporation Bonds_Issuer,8
71,2018-12-01,12,2018,Federal Crown Corporation Bonds_Non-Residents,7804
59,2018-12-01,12,2018,Federal Crown Corporation Bonds_Retail Clients,324
107,2018-12-01,12,2018,Provincial Bonds_Anonymous Systems: IDBBs and ATSs,27419
119,2018-12-01,12,2018,Provincial Bonds_Banks,9536
131,2018-12-01,12,2018,Provincial Bonds_Institutional Clients,41001
95,2018-12-01,12,2018,Provincial Bonds_Investment Dealers,3924
167,2018-12-01,12,2018,Provincial Bonds_Issuer,203
155,2018-12-01,12,2018,Provincial Bonds_Non-Residents,9531
143,2018-12-01,12,2018,Provincial Bonds_Retail Clients,608
12,2019-01-01,1,2019,Federal Crown Corporation Bonds_Anonymous Systems: IDBBs and ATSs,21501
24,2019-01-01,1,2019,Federal Crown Corporation Bonds_Banks,6116
36,2019-01-01,1,2019,Federal Crown Corporation Bonds_Institutional Clients,19292
0,2019-01-01,1,2019,Federal Crown Corporation Bonds_Investment Dealers,3759
72,2019-01-01,1,2019,Federal Crown Corporation Bonds_Issuer,2
60,2019-01-01,1,2019,Federal Crown Corporation Bonds_Non-Residents,5275
48,2019-01-01,1,2019,Federal Crown Corporation Bonds_Retail Clients,291
96,2019-01-01,1,2019,Provincial Bonds_Anonymous Systems: IDBBs and ATSs,37127
108,2019-01-01,1,2019,Provincial Bonds_Banks,9355
120,2019-01-01,1,2019,Provincial Bonds_Institutional Clients,46695
84,2019-01-01,1,2019,Provincial Bonds_Investment Dealers,4946
156,2019-01-01,1,2019,Provincial Bonds_Issuer,69
144,2019-01-01,1,2019,Provincial Bonds_Non-Residents,12221
132,2019-01-01,1,2019,Provincial Bonds_Retail Clients,609
13,2019-02-01,2,2019,Federal Crown Corporation Bonds_Anonymous Systems: IDBBs and ATSs,16375
25,2019-02-01,2,2019,Federal Crown Corporation Bonds_Banks,4458
37,2019-02-01,2,2019,Federal Crown Corporation Bonds_Institutional Clients,16200
1,2019-02-01,2,2019,Federal Crown Corporation Bonds_Investment Dealers,2754
73,2019-02-01,2,2019,Federal Crown Corporation Bonds_Issuer,1
61,2019-02-01,2,2019,Federal Crown Corporation Bonds_Non-Residents,8634
49,2019-02-01,2,2019,Federal Crown Corporation Bonds_Retail Clients,218
97,2019-02-01,2,2019,Provincial Bonds_Anonymous Systems: IDBBs and ATSs,32548
109,2019-02-01,2,2019,Provincial Bonds_Banks,8950
121,2019-02-01,2,2019,Provincial Bonds_Institutional Clients,41759
85,2019-02-01,2,2019,Provincial Bonds_Investment Dealers,4193
157,2019-02-01,2,2019,Provincial Bonds_Issuer,173
145,2019-02-01,2,2019,Provincial Bonds_Non-Residents,8535
133,2019-02-01,2,2019,Provincial Bonds_Retail Clients,612
14,2019-03-01,3,2019,Federal Crown Corporation Bonds_Anonymous Systems: IDBBs and ATSs,18693
26,2019-03-01,3,2019,Federal Crown Corporation Bonds_Banks,6581
38,2019-03-01,3,2019,Federal Crown Corporation Bonds_Institutional Clients,27506
2,2019-03-01,3,2019,Federal Crown Corporation Bonds_Investment Dealers,4534
74,2019-03-01,3,2019,Federal Crown Corporation Bonds_Issuer,1
62,2019-03-01,3,2019,Federal Crown Corporation Bonds_Non-Residents,12840
50,2019-03-01,3,2019,Federal Crown Corporation Bonds_Retail Clients,297
98,2019-03-01,3,2019,Provincial Bonds_Anonymous Systems: IDBBs and ATSs,29333
110,2019-03-01,3,2019,Provincial Bonds_Banks,7718
122,2019-03-01,3,2019,Provincial Bonds_Institutional Clients,47509
86,2019-03-01,3,2019,Provincial Bonds_Investment Dealers,4792
158,2019-03-01,3,2019,Provincial Bonds_Issuer,230
146,2019-03-01,3,2019,Provincial Bonds_Non-Residents,7157
134,2019-03-01,3,2019,Provincial Bonds_Retail Clients,527
15,2019-04-01,4,2019,Federal Crown Corporation Bonds_Anonymous Systems: IDBBs and ATSs,19956
27,2019-04-01,4,2019,Federal Crown Corporation Bonds_Banks,4205
39,2019-04-01,4,2019,Federal Crown Corporation Bonds_Institutional Clients,17641
3,2019-04-01,4,2019,Federal Crown Corporation Bonds_Investment Dealers,1620
75,2019-04-01,4,2019,Federal Crown Corporation Bonds_Issuer,110
63,2019-04-01,4,2019,Federal Crown Corporation Bonds_Non-Residents,8207
51,2019-04-01,4,2019,Federal Crown Corporation Bonds_Retail Clients,171
99,2019-04-01,4,2019,Provincial Bonds_Anonymous Systems: IDBBs and ATSs,32356
111,2019-04-01,4,2019,Provincial Bonds_Banks,6262
123,2019-04-01,4,2019,Provincial Bonds_Institutional Clients,48745
87,2019-04-01,4,2019,Provincial Bonds_Investment Dealers,4900
159,2019-04-01,4,2019,Provincial Bonds_Issuer,354
147,2019-04-01,4,2019,Provincial Bonds_Non-Residents,6936
135,2019-04-01,4,2019,Provincial Bonds_Retail Clients,518
16,2019-05-01,5,2019,Federal Crown Corporation Bonds_Anonymous Systems: IDBBs and ATSs,20694
28,2019-05-01,5,2019,Federal Crown Corporation Bonds_Banks,6317
40,2019-05-01,5,2019,Federal Crown Corporation Bonds_Institutional Clients,28162
4,2019-05-01,5,2019,Federal Crown Corporation Bonds_Investment Dealers,4512
76,2019-05-01,5,2019,Federal Crown Corporation Bonds_Issuer,25
64,2019-05-01,5,2019,Federal Crown Corporation Bonds_Non-Residents,8065
52,2019-05-01,5,2019,Federal Crown Corporation Bonds_Retail Clients,301
100,2019-05-01,5,2019,Provincial Bonds_Anonymous Systems: IDBBs and ATSs,41766
112,2019-05-01,5,2019,Provincial Bonds_Banks,6582
124,2019-05-01,5,2019,Provincial Bonds_Institutional Clients,46749
88,2019-05-01,5,2019,Provincial Bonds_Investment Dealers,5985
160,2019-05-01,5,2019,Provincial Bonds_Issuer,253
148,2019-05-01,5,2019,Provincial Bonds_Non-Residents,8778
136,2019-05-01,5,2019,Provincial Bonds_Retail Clients,586
17,2019-06-01,6,2019,Federal Crown Corporation Bonds_Anonymous Systems: IDBBs and ATSs,21553
29,2019-06-01,6,2019,Federal Crown Corporation Bonds_Banks,3705
41,2019-06-01,6,2019,Federal Crown Corporation Bonds_Institutional Clients,34387
5,2019-06-01,6,2019,Federal Crown Corporation Bonds_Investment Dealers,4025
77,2019-06-01,6,2019,Federal Crown Corporation Bonds_Issuer,0
65,2019-06-01,6,2019,Federal Crown Corporation Bonds_Non-Residents,11090
53,2019-06-01,6,2019,Federal Crown Corporation Bonds_Retail Clients,263
101,2019-06-01,6,2019,Provincial Bonds_Anonymous Systems: IDBBs and ATSs,33835
113,2019-06-01,6,2019,Provincial Bonds_Banks,6579
125,2019-06-01,6,2019,Provincial Bonds_Institutional Clients,55278
89,2019-06-01,6,2019,Provincial Bonds_Investment Dealers,6111
161,2019-06-01,6,2019,Provincial Bonds_Issuer,247
149,2019-06-01,6,2019,Provincial Bonds_Non-Residents,8373
137,2019-06-01,6,2019,Provincial Bonds_Retail Clients,609
18,2019-07-01,7,2019,Federal Crown Corporation Bonds_Anonymous Systems: IDBBs and ATSs,15168
30,2019-07-01,7,2019,Federal Crown Corporation Bonds_Banks,3490
42,2019-07-01,7,2019,Federal Crown Corporation Bonds_Institutional Clients,20329
6,2019-07-01,7,2019,Federal Crown Corporation Bonds_Investment Dealers,1730
78,2019-07-01,7,2019,Federal Crown Corporation Bonds_Issuer,1
66,2019-07-01,7,2019,Federal Crown Corporation Bonds_Non-Residents,6389
54,2019-07-01,7,2019,Federal Crown Corporation Bonds_Retail Clients,231
102,2019-07-01,7,2019,Provincial Bonds_Anonymous Systems: IDBBs and ATSs,34509
114,2019-07-01,7,2019,Provincial Bonds_Banks,5713
126,2019-07-01,7,2019,Provincial Bonds_Institutional Clients,51994
90,2019-07-01,7,2019,Provincial Bonds_Investment Dealers,4440
162,2019-07-01,7,2019,Provincial Bonds_Issuer,266
150,2019-07-01,7,2019,Provincial Bonds_Non-Residents,8443
138,2019-07-01,7,2019,Provincial Bonds_Retail Clients,387
19,2019-08-01,8,2019,Federal Crown Corporation Bonds_Anonymous Systems: IDBBs and ATSs,12331
31,2019-08-01,8,2019,Federal Crown Corporation Bonds_Banks,6615
43,2019-08-01,8,2019,Federal Crown Corporation Bonds_Institutional Clients,18057
7,2019-08-01,8,2019,Federal Crown Corporation Bonds_Investment Dealers,3833
79,2019-08-01,8,2019,Federal Crown Corporation Bonds_Issuer,0
67,2019-08-01,8,2019,Federal Crown Corporation Bonds_Non-Residents,6848
55,2019-08-01,8,2019,Federal Crown Corporation Bonds_Retail Clients,183
103,2019-08-01,8,2019,Provincial Bonds_Anonymous Systems: IDBBs and ATSs,27276
115,2019-08-01,8,2019,Provincial Bonds_Banks,5824
127,2019-08-01,8,2019,Provincial Bonds_Institutional Clients,33637
91,2019-08-01,8,2019,Provincial Bonds_Investment Dealers,4906
163,2019-08-01,8,2019,Provincial Bonds_Issuer,779
151,2019-08-01,8,2019,Provincial Bonds_Non-Residents,8117
139,2019-08-01,8,2019,Provincial Bonds_Retail Clients,303
20,2019-09-01,9,2019,Federal Crown Corporation Bonds_Anonymous Systems: IDBBs and ATSs,17823
32,2019-09-01,9,2019,Federal Crown Corporation Bonds_Banks,5489
44,2019-09-01,9,2019,Federal Crown Corporation Bonds_Institutional Clients,20253
8,2019-09-01,9,2019,Federal Crown Corporation Bonds_Investment Dealers,3980
