,date,month,year,instruments,volume
137,2018-06-01,6,2018,Asset-Backed Securities_Retail Clients,1
17,2018-06-01,6,2018,Mortgage Backed Securities_Anonymous Systems: IDBBs and ATSs,0
29,2018-06-01,6,2018,Mortgage Backed Securities_Banks,1553
41,2018-06-01,6,2018,Mortgage Backed Securities_Institutional Clients,3476
5,2018-06-01,6,2018,Mortgage Backed Securities_Investment Dealers,782
77,2018-06-01,6,2018,Mortgage Backed Securities_Issuer,642
65,2018-06-01,6,2018,Mortgage Backed Securities_Non-Residents,10
53,2018-06-01,6,2018,Mortgage Backed Securities_Retail Clients,24
102,2018-07-01,7,2018,Asset-Backed Securities_Anonymous Systems: IDBBs and ATSs,230
114,2018-07-01,7,2018,Asset-Backed Securities_Banks,9
126,2018-07-01,7,2018,Asset-Backed Securities_Institutional Clients,762
90,2018-07-01,7,2018,Asset-Backed Securities_Investment Dealers,77
162,2018-07-01,7,2018,Asset-Backed Securities_Issuer,0.0
150,2018-07-01,7,2018,Asset-Backed Securities_Non-Residents,20
138,2018-07-01,7,2018,Asset-Backed Securities_Retail Clients,2
18,2018-07-01,7,2018,Mortgage Backed Securities_Anonymous Systems: IDBBs and ATSs,272
30,2018-07-01,7,2018,Mortgage Backed Securities_Banks,1884
42,2018-07-01,7,2018,Mortgage Backed Securities_Institutional Clients,4039
6,2018-07-01,7,2018,Mortgage Backed Securities_Investment Dealers,622
78,2018-07-01,7,2018,Mortgage Backed Securities_Issuer,404
66,2018-07-01,7,2018,Mortgage Backed Securities_Non-Residents,91
54,2018-07-01,7,2018,Mortgage Backed Securities_Retail Clients,61
103,2018-08-01,8,2018,Asset-Backed Securities_Anonymous Systems: IDBBs and ATSs,80
115,2018-08-01,8,2018,Asset-Backed Securities_Banks,17
127,2018-08-01,8,2018,Asset-Backed Securities_Institutional Clients,793
91,2018-08-01,8,2018,Asset-Backed Securities_Investment Dealers,17
163,2018-08-01,8,2018,Asset-Backed Securities_Issuer,0.0
151,2018-08-01,8,2018,Asset-Backed Securities_Non-Residents,6
139,2018-08-01,8,2018,Asset-Backed Securities_Retail Clients,1
19,2018-08-01,8,2018,Mortgage Backed Securities_Anonymous Systems: IDBBs and ATSs,0
31,2018-08-01,8,2018,Mortgage Backed Securities_Banks,2135
43,2018-08-01,8,2018,Mortgage Backed Securities_Institutional Clients,4104
7,2018-08-01,8,2018,Mortgage Backed Securities_Investment Dealers,1504
79,2018-08-01,8,2018,Mortgage Backed Securities_Issuer,1126
67,2018-08-01,8,2018,Mortgage Backed Securities_Non-Residents,176
55,2018-08-01,8,2018,Mortgage Backed Securities_Retail Clients,103
104,2018-09-01,9,2018,Asset-Backed Securities_Anonymous Systems: IDBBs and ATSs,98
116,2018-09-01,9,2018,Asset-Backed Securities_Banks,46
128,2018-09-01,9,2018,Asset-Backed Securities_Institutional Clients,1421
92,2018-09-01,9,2018,Asset-Backed Securities_Investment Dealers,51
164,2018-09-01,9,2018,Asset-Backed Securities_Issuer,0.0
152,2018-09-01,9,2018,Asset-Backed Securities_Non-Residents,56
140,2018-09-01,9,2018,Asset-Backed Securities_Retail Clients,7
20,2018-09-01,9,2018,Mortgage Backed Securities_Anonymous Systems: IDBBs and ATSs,14
32,2018-09-01,9,2018,Mortgage Backed Securities_Banks,1007
44,2018-09-01,9,2018,Mortgage Backed Securities_Institutional Clients,4272
8,2018-09-01,9,2018,Mortgage Backed Securities_Investment Dealers,1091
80,2018-09-01,9,2018,Mortgage Backed Securities_Issuer,709
68,2018-09-01,9,2018,Mortgage Backed Securities_Non-Residents,235
56,2018-09-01,9,2018,Mortgage Backed Securities_Retail Clients,74
105,2018-10-01,10,2018,Asset-Backed Securities_Anonymous Systems: IDBBs and ATSs,167
117,2018-10-01,10,2018,Asset-Backed Securities_Banks,88
129,2018-10-01,10,2018,Asset-Backed Securities_Institutional Clients,1117
93,2018-10-01,10,2018,Asset-Backed Securities_Investment Dealers,247
165,2018-10-01,10,2018,Asset-Backed Securities_Issuer,0.0
153,2018-10-01,10,2018,Asset-Backed Securities_Non-Residents,158
141,2018-10-01,10,2018,Asset-Backed Securities_Retail Clients,2
